#{"t_start": 1568274844.1745129, "env_id": null}
r,l,t
115.206084,27,16.083989
150.6214,32,19.988923
288.465972,62,26.299517
1004.803064,169,40.198245
186.620822,37,44.152721
123.272243,26,47.18255
899.134308,161,59.19978
157.398734,32,62.598682
1139.818214,210,77.739559
180.203872,38,81.483471
202.770679,39,85.342571
200.018354,39,89.281483
158.559056,36,93.332387
572.328716,86,100.375971
130.771955,32,105.042439
106.902733,20,107.836057
159.435018,36,112.767234
326.548247,68,120.933552
119.898129,29,124.936778
106.33984,18,127.419213
150.603808,31,131.425448
616.946535,108,142.358727
127.087423,27,146.120835
846.760534,145,162.172926
748.876248,133,176.392439
792.982207,115,188.979056
334.308083,63,196.115451
103.033704,23,199.370515
662.351157,113,211.669221
135.927223,33,216.221584
724.509464,117,228.598036
127.217536,26,232.021857
116.737561,25,235.357788
872.029537,155,253.37054
721.841764,118,265.739157
681.433523,128,280.379641
123.59164,27,283.996956
442.003936,76,293.200604
190.114242,36,297.935195
138.900927,29,301.728686
642.475254,108,312.976979
232.914737,43,318.238598
136.078233,31,322.396575
146.824031,35,327.138813
122.545104,22,329.973296
342.390672,58,337.002304
181.20344,36,341.72775
120.368906,24,344.942577
259.022907,52,351.348126
153.044261,34,355.836546
129.346684,28,359.645139
289.806579,50,364.968283
279.357913,43,369.711621
452.067882,92,379.736044
170.140722,35,384.537129
271.827237,38,388.856926
179.764173,36,393.58502
177.846694,36,398.213086
95.751039,22,401.55585
136.298289,28,405.290895
164.98288,36,410.396095
93.164083,16,412.83036
530.647678,100,424.347169
112.588247,30,429.041302
104.84718,18,431.640888
106.690885,26,435.670793
-20.0,1,435.78582
153.414688,27,439.481986
111.728111,25,443.068698
627.127495,116,455.479966
121.491912,28,459.611246
78.193977,18,462.510071
521.452878,84,473.374198
204.098321,37,477.689559
331.118946,53,483.496956
766.287809,138,498.788816
145.495481,32,503.268193
111.623408,25,507.112632
202.018083,49,514.131349
-20.0,1,514.244406
108.162053,19,516.993087
969.243782,140,532.598519
258.362191,42,537.478125
568.951602,103,548.37111
114.995557,26,552.254667
272.066588,40,556.921893
97.284978,23,560.786844
137.683098,30,565.350044
114.130684,26,569.358327
915.721173,142,587.616447
478.51926,75,597.790119
-20.0,1,597.890146
430.822846,56,604.502264
516.435409,104,616.691171
72.020347,18,619.803912
113.976684,25,623.591759
367.175661,63,630.686076
385.179797,62,637.662956
176.817562,35,642.822453
511.086561,76,653.232048
603.069367,115,665.145597
838.134598,141,680.556988
124.049332,26,684.087921
140.99035,30,687.932299
369.978772,74,696.958364
127.416738,29,700.957468
519.979974,101,711.514855
190.669098,39,716.545292
137.689484,30,720.43978
672.19277,110,733.920236
-20.0,1,734.03126
149.578216,24,737.14606
673.800552,111,749.370794
147.602944,34,753.901946
177.906547,36,758.676123
131.768912,21,761.4228
352.028513,57,767.314298
127.466997,28,771.303065
-20.0,1,771.397093
124.626027,27,775.059532
143.996112,35,779.892394
696.384112,96,790.239167
161.626873,34,794.916564
166.692542,33,799.027771
144.210841,33,803.643633
132.822564,30,807.675173
122.767662,22,810.571847
337.841189,61,817.193503
167.391466,31,821.327482
330.819663,59,827.708645
99.635608,22,830.889767
247.720077,39,835.175964
285.804317,55,841.961893
257.713326,58,848.82465
942.647648,156,867.252359
156.542794,32,871.455398
186.806075,38,876.192494
307.584406,58,882.717175
121.809301,27,886.454554
89.502382,20,889.285828
98.211861,23,892.579675
325.494352,50,898.660461
268.667768,52,904.316955
458.302033,70,911.604309
189.739086,42,917.022548
159.037606,34,921.714189
139.836479,30,925.769482
120.423659,24,928.91629
305.980678,42,933.603272
366.497651,66,940.599164
129.475444,27,944.193196
144.036285,29,947.981595
323.637379,59,954.378298
175.007401,37,959.092079
97.623106,22,962.256843
202.221235,40,967.126084
915.707707,147,982.301069
134.290385,30,986.403015
293.631793,50,991.808228
125.597329,28,995.723233
120.077834,21,998.504886
217.04403,39,1003.325259
276.37388,51,1008.64656
148.825624,32,1012.754421
110.928861,25,1016.168853
198.060764,40,1021.068549
144.324695,32,1025.352872
146.742425,32,1029.454825
102.497589,22,1032.554607
147.633326,31,1036.616626
165.747815,39,1041.828572
120.238641,21,1044.546643
170.027484,35,1049.096221
287.145575,55,1055.652091
160.930448,34,1060.020183
689.109209,111,1071.817023
135.839968,29,1075.966707
646.085851,112,1088.229845
678.188741,113,1099.998741
114.583094,24,1103.155024
131.266964,30,1107.066757
101.171939,23,1110.279197
129.168889,23,1113.363956
163.274185,35,1117.905031
168.531291,36,1122.473126
163.664326,34,1126.770161
779.235619,117,1138.947764
381.452448,66,1145.985517
234.079665,38,1150.741918
158.346334,34,1155.33924
-20.0,1,1155.450264
839.555493,137,1171.517001
107.459167,23,1174.735114
239.063681,38,1179.432567
546.989015,90,1189.670748
170.502115,33,1194.220688
841.397005,141,1210.625161
132.673611,26,1214.063091
161.00764,35,1218.545635
452.066472,70,1227.24228
114.657238,25,1230.738279
149.920542,34,1235.379448
141.989222,33,1239.97665
567.625368,78,1248.883266
157.85227,33,1253.11939
250.712084,43,1257.98973
381.534111,64,1264.883337
253.294341,38,1269.722435
684.771372,134,1283.730561
656.563819,104,1295.295465
197.530843,41,1300.378725
377.280687,68,1307.608385
130.744623,29,1311.745254
278.956449,53,1317.455617
954.130473,138,1332.726346
351.724112,65,1339.839237
802.653204,135,1354.163412
623.438815,120,1366.312499
193.102901,33,1370.026893
351.227258,65,1377.225443
397.758764,59,1384.226345
177.150926,34,1388.723374
104.669369,18,1391.041464
138.364993,26,1394.436116
129.694598,25,1397.776387
126.592812,29,1401.732289
174.29583,36,1406.337446
424.100837,59,1412.681248
297.328036,55,1418.836405
117.390225,29,1422.912512
111.970194,19,1425.499959
658.018186,123,1439.9844
860.457758,129,1454.731848
344.951805,63,1461.668984
128.961797,29,1465.766879
159.913705,30,1469.600749
305.40117,45,1475.043664
140.191524,31,1479.126733
231.950119,43,1484.240546
263.260033,50,1489.765266
123.466929,27,1493.614198
661.655313,114,1505.894868
109.240636,24,1509.089806
145.952698,29,1513.086942
137.396922,31,1517.08105
139.931406,30,1520.915104
149.450409,31,1525.213482
-20.0,1,1525.323506
148.794228,24,1528.479311
153.592245,33,1532.999668
144.700227,35,1537.723625
141.030024,23,1540.803578
375.623848,70,1548.116152
488.12711,83,1556.767655
352.175097,47,1561.935929
146.541272,33,1566.459756
128.039858,26,1569.98873
165.112472,37,1574.855743
178.361297,28,1578.435823
161.295557,34,1582.600835
254.65407,41,1587.131092
114.671019,24,1590.261881
118.973714,30,1594.330554
548.21857,96,1605.13738
298.085231,47,1610.045628
496.44304,86,1619.174745
151.681001,32,1623.690909
159.936073,37,1628.653207
-20.0,1,1628.747228
346.951246,58,1634.784692
153.466931,35,1639.476309
113.580693,19,1642.025898
168.351719,36,1646.771042
128.053309,28,1650.399245
367.39739,57,1657.321716
176.268622,39,1662.467505
219.771306,40,1666.866287
487.488389,88,1675.978535
143.297854,33,1680.586687
213.705557,34,1684.39975
104.746523,22,1687.394546
655.555373,115,1699.984072
142.043124,27,1703.51725
151.392866,30,1707.399239
292.996606,57,1713.276264
784.820563,135,1727.363337
350.910057,53,1732.940926
167.01341,37,1738.024406
439.663037,73,1746.419978
989.528365,139,1761.361531
164.95735,31,1765.369665
998.588917,143,1781.362526
129.162182,24,1784.606011
447.43587,72,1793.45329
101.809597,17,1795.823921
630.538539,105,1806.484117
138.353156,26,1809.925914
248.934481,46,1814.918498
145.22797,29,1818.915461
187.604136,33,1822.485357
576.353529,97,1832.687183
583.200035,105,1843.74103
380.025269,58,1849.971109
788.686247,134,1864.228166
307.05239,47,1869.211525
156.19871,35,1873.935608
362.824537,58,1880.793276
135.258165,28,1884.569561
261.687687,55,1891.345639
120.950095,25,1894.723939
137.091312,30,1898.801022
771.474304,144,1913.359703
98.318855,21,1916.342569
147.188649,34,1921.033746
198.864838,35,1925.422211
144.352081,30,1929.494291
165.303961,35,1934.285444
-20.0,1,1934.379464
390.30195,61,1940.783967
786.043953,134,1954.565535
153.014011,34,1959.249947
126.858126,24,1962.402292
554.025122,104,1973.141943
168.536792,36,1977.683301
646.295899,115,1989.506173
170.565599,35,1994.180224
267.529682,46,1999.155592
182.258002,32,2003.189675
843.41304,151,2019.264824
123.292485,27,2023.162034
157.165168,35,2027.903333
190.521651,38,2032.553803
576.106625,101,2042.826538
469.791534,89,2052.677209
418.823022,61,2059.090756
161.72068,32,2063.294733
152.568321,33,2067.470783
562.450182,115,2079.29332
116.189055,24,2082.697083
225.28274,35,2086.61606
535.307511,99,2097.336344
105.343314,22,2100.339957
152.314495,30,2104.21565
379.777072,66,2111.192037
111.419602,24,2114.370941
252.427919,52,2120.861879
134.142194,30,2125.005885
428.330707,63,2131.487047
864.196262,137,2146.900733
752.825748,118,2159.012424
111.497121,28,2163.032979
416.824424,57,2169.322794
101.24076,22,2172.428753
274.248167,41,2177.419193
565.399069,95,2187.688854
916.679946,142,2203.580884
123.427832,28,2207.610872
157.494856,33,2212.09822
395.421104,62,2218.530166
150.34616,33,2222.892258
499.583551,91,2234.099239
115.825433,21,2236.898862
144.157197,33,2241.464479
125.473334,23,2244.452488
159.654736,33,2248.695809
639.030386,116,2261.144344
698.77364,134,2274.9245
179.08718,35,2279.363967
144.918403,34,2284.027197
902.406083,147,2301.468827
150.417496,34,2306.069233
116.123771,21,2308.870951
152.219428,33,2313.132888
397.625377,62,2319.818754
148.11327,33,2324.469913
162.728302,30,2328.487052
175.126024,36,2333.157332
-20.0,1,2333.268356
194.105512,37,2338.008054
139.504511,23,2341.146288
490.348784,67,2348.297457
191.437409,40,2353.281826
137.67397,34,2357.973118
156.225658,27,2361.442987
725.229791,109,2373.424176
145.01322,30,2377.627232
157.537238,30,2381.487274
116.365653,25,2384.866043
127.047959,29,2388.960078
982.78989,144,2406.675826
108.670783,23,2409.924557
349.811576,59,2416.327474
146.793054,30,2420.253422
917.678412,126,2435.085314
117.38975,24,2438.241117
637.13667,105,2449.059373
346.547828,63,2455.793405
809.296405,140,2471.502339
145.728783,30,2475.516463
705.150554,136,2491.307481
928.690818,144,2507.258601
107.372202,22,2510.231312
881.308191,144,2526.840914
716.254461,122,2540.382705
620.843523,106,2551.459807
540.20815,107,2562.490489
872.598719,148,2578.347588
130.732799,33,2582.862365
144.720593,24,2586.092783
108.810459,22,2589.153906
165.488582,36,2593.848414
339.087435,63,2600.598204
163.649882,35,2605.328428
424.210109,58,2611.496376
136.674392,33,2616.048934
151.47424,26,2619.382789
